,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
1077,1371,01,Zegrzyńska,2618,52.403431,20.948328,Sielankowa,2023-10-14 00:00:00.0
1078,1371,02,Zegrzyńska,2618,52.403436,20.948799,os.Piaski,2023-10-14 00:00:00.0
1079,1371,52,Zegrzyńska,null,52.402760,20.947643,null,2023-10-14 00:00:00.0
1080,1372,01,os.Piaski,2618,52.406264,20.951996,Strużańska,2023-10-14 00:00:00.0
1081,1372,02,os.Piaski,2618,52.405271,20.951139,Piaskowa,2023-10-14 00:00:00.0
1082,1372,52,os.Piaski,null,52.406206,20.952060,null,2023-10-14 00:00:00.0
1083,1373,01,al.Sybiraków,1743,52.410371,20.951560,os.Piaski,2023-10-14 00:00:00.0
1084,1373,02,al.Sybiraków,1743,52.410732,20.950632,PKP Legionowo Piaski,2023-10-14 00:00:00.0
1085,1374,01,Piaskowa,1743,52.411847,20.947078,al.Sybiraków,2023-10-14 00:00:00.0
1086,1374,02,Piaskowa,1743,52.412220,20.946141,PKP Legionowo Piaski,2023-10-14 00:00:00.0
1087,1375,01,PKP Legionowo Piaski,0138,52.411999,20.939380,Piaskowa,2023-10-14 00:00:00.0
1088,1375,02,PKP Legionowo Piaski,0138,52.411903,20.939827,Bandurskiego,2023-10-14 00:00:00.0
1089,1375,03,PKP Legionowo Piaski,null,52.410434,20.940786,null,2023-10-14 00:00:00.0
1090,1375,04,PKP Legionowo Piaski,null,52.411060,20.941413,null,2023-10-14 00:00:00.0
1091,1376,01,Bandurskiego,0138,52.414297,20.932460,PKP Legionowo Piaski,2023-10-14 00:00:00.0
1092,1376,02,Bandurskiego,0138,52.414613,20.931677,Cmentarz,2023-10-14 00:00:00.0
1093,1377,01,Cynkowa,0138,52.414881,20.923199,Cmentarz,2023-10-14 00:00:00.0
1094,1377,02,Cynkowa,0138,52.414983,20.921262,Aleja Róż,2023-10-14 00:00:00.0
1095,1377,03,Cynkowa,0138,52.414817,20.919948,Orzechowa,2023-10-14 00:00:00.0
1096,1378,01,Szarych Szeregów,2833,52.423805,20.933098,os.Młodych,2023-10-14 00:00:00.0
1097,1378,02,Szarych Szeregów,2833,52.423839,20.932648,Starostwo Powiatowe,2023-10-14 00:00:00.0
1098,1379,01,Starostwo Powiatowe,0714,52.421162,20.939224,Szarych Szeregów,2023-10-14 00:00:00.0
1099,1379,02,Starostwo Powiatowe,0714,52.421404,20.939152,Szarych Szeregów,2023-10-14 00:00:00.0
1100,1379,03,Starostwo Powiatowe,0714,52.421270,20.939248,Fabryczna,2023-10-14 00:00:00.0
1101,1388,02,Przejazd,0706,52.342225,21.234508,Sasina,2023-10-14 00:00:00.0
1102,1389,01,Sasina,0130,52.345410,21.228862,Gdyńska,2023-10-14 00:00:00.0
1103,1389,02,Sasina,0130,52.346126,21.230664,Piłsudskiego,2023-10-14 00:00:00.0
1104,1389,03,Sasina,2087,52.346276,21.228903,Sasina-Liceum,2023-10-14 00:00:00.0
1105,1389,04,Sasina,2087,52.345320,21.229931,Przejazd,2023-10-14 00:00:00.0
1106,1389,53,Sasina,null,52.344677,21.230982,null,2023-10-14 00:00:00.0
1107,1390,01,os.Nafta,0130,52.350142,21.241631,Sikorskiego,2023-10-14 00:00:00.0
1108,1390,02,os.Nafta,0130,52.350623,21.243601,Stefana Batorego,2023-10-14 00:00:00.0
1109,1391,01,PKP Wołomin Słoneczna,0838,52.355936,21.255888,os.Niepodległości,2023-10-14 00:00:00.0
1110,1391,02,PKP Wołomin Słoneczna,0838,52.356925,21.254961,Głowackiego,2023-10-14 00:00:00.0
1111,1393,01,os.Niepodległości,2501,52.351892,21.258697,Sikorskiego,2023-10-14 00:00:00.0
1112,1393,02,os.Niepodległości,2501,52.351681,21.258160,al.Niepodległości,2023-10-14 00:00:00.0
1113,1393,03,os.Niepodległości,0116,52.353022,21.259686,al.Armii Krajowej,2023-10-14 00:00:00.0
1114,1393,04,os.Niepodległości,0116,52.350769,21.262504,Cmentarz,2023-10-14 00:00:00.0
1115,1395,01,Legionów,null,52.346081,21.241458,PKP Wołomin,2023-10-14 00:00:00.0
