nearest_stop,Total Violations,Total Measurements,Violation Percentage
6112,1.0,1,100.0
6113,2.0,1,200.0
6118,1.0,2,50.0
6119,1.0,2,50.0
6129,4.0,12,33.33333333333333
6132,1.0,7,14.285714285714285
6133,26.0,21,123.80952380952381
6147,1.0,1,100.0
6151,2.0,2,100.0
6155,2.0,13,15.384615384615385
6157,2.0,1,200.0
6159,1.0,2,50.0
6160,2.0,2,100.0
6161,2.0,1,200.0
6162,1.0,1,100.0
6163,1.0,1,100.0
6164,2.0,1,200.0
6165,1.0,2,50.0
6179,3.0,1,300.0
6184,1.0,3,33.33333333333333
6186,2.0,3,66.66666666666666
6193,1.0,2,50.0
6648,1.0,1,100.0
6814,2.0,1,200.0
7003,2.0,9,22.22222222222222
7019,2.0,12,16.666666666666664
7047,1.0,2,50.0
7066,1.0,7,14.285714285714285
7071,12.0,38,31.57894736842105
7076,8.0,21,38.095238095238095
7093,4.0,18,22.22222222222222
7106,1.0,2,50.0
