,Lines,Lon,VehicleNumber,Time,Lat,Brigade,Speed
6535,132,21.024895,8451,2024-02-19 10:20:40,52.297218,1,62.96199919594921
17140,132,21.04845,8451,2024-02-19 10:23:58,52.303585,1,70.79033655719297
34825,120,21.057438,8454,2024-02-19 10:29:13,52.265034,1,50.379282517033694
20685,735,20.997644,8459,2024-02-19 10:24:56,52.295277,66,52.10377411845039
24222,735,20.99579,8459,2024-02-19 10:26:02,52.287758,66,53.798578569100556
25990,735,20.989462,8459,2024-02-19 10:26:37,52.284828,66,55.52528149256554
27758,735,20.982765,8459,2024-02-19 10:27:13,52.281792,66,56.70092278457264
29526,735,20.979189,8459,2024-02-19 10:27:33,52.280148,66,54.77347552292401
6544,500,21.027113,8460,2024-02-19 10:20:41,52.265961,2,51.64374492159579
15381,500,21.006314,8460,2024-02-19 10:23:33,52.2599362,2,57.07706098563084
13615,520,21.0343536,8462,2024-02-19 10:22:50,52.2215266,5,66.3994985214866
17151,520,21.042677,8462,2024-02-19 10:23:59,52.223984,5,50.999793284953775
18919,520,21.050253,8462,2024-02-19 10:24:34,52.225529,5,55.941809800438804
20688,520,21.055738,8462,2024-02-19 10:24:58,52.226673,5,59.198681345781274
20691,509,21.0481577,8465,2024-02-19 10:24:59,52.245687,025,63.28224742648886
40141,709,21.0176817,8500,2024-02-19 10:30:44,52.1630683,5,71.52188190851167
27772,519,21.042455,8507,2024-02-19 10:26:54,52.194315,2,56.01397226676495
48990,710,21.04059,8509,2024-02-19 10:33:13,52.07665,2,71.98582777948924
10097,174,21.0038517,8513,2024-02-19 10:21:29,52.2242967,4,52.985827547391544
17176,710,21.04566,8523,2024-02-19 10:23:47,52.076815,6,60.14733627396149
18944,710,21.054266,8523,2024-02-19 10:24:27,52.076264,6,53.21952127172595
3042,709,21.0176467,8531,2024-02-19 10:19:31,52.1617833,9,57.74792155393883
3058,709,21.0176317,8550,2024-02-19 10:19:40,52.168005,1,50.607760744602
8360,709,21.017271,8550,2024-02-19 10:21:06,52.158065,1,64.74080965873557
3060,525,21.0450267,8552,2024-02-19 10:19:43,52.2246067,1,50.52617561888028
36659,509,20.997154,8563,2024-02-19 10:29:29,52.295803,7,51.473833918046786
45497,509,21.009395,8563,2024-02-19 10:32:10,52.282526,7,57.212455544241024
52572,509,21.017205,8563,2024-02-19 10:34:31,52.270478,7,52.3609049815397
8375,521,20.991873,8567,2024-02-19 10:21:09,52.22538,4,50.19018237032134
8378,525,21.0775783,8570,2024-02-19 10:21:13,52.2341683,319,50.14919792764949
38434,525,21.1283267,8570,2024-02-19 10:30:11,52.2326883,319,56.7611199766653
40202,525,21.1346217,8570,2024-02-19 10:30:42,52.2308067,319,55.39832044309067
47273,525,21.15485,8570,2024-02-19 10:33:02,52.22602,319,50.11221792573907
