,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
46948,190,20.9844662,7713,2024-02-19 10:33:04,52.2387324,6,5003,246.7684012182456,no
46949,190,20.9875931,7714,2024-02-19 10:33:04,52.2400965,014,5002,32.40916144511611,no
46950,187,20.9613209,7715,2024-02-19 10:33:04,52.2167022,6,4045,129.87224389276733,no
46951,190,21.0400045,7716,2024-02-19 10:33:04,52.2570696,9,1052,2.558790166256678,yes
46953,414,20.9199209,7718,2024-02-19 10:33:04,52.1973812,04,,,no
46956,517,20.8666965,7720,2024-02-19 10:33:04,52.1936144,8,4343,103.49855213469448,no
46957,112,20.9480979,7721,2024-02-19 10:33:05,52.276967,4,6021,5.439964947033489,yes
46958,721,20.9281565,7722,2024-02-19 10:33:01,52.161365,1,4155,80.26004543931539,no
46960,743,20.9009485,7724,2024-02-19 10:33:04,52.2392182,1,5050,7.503650429758012,yes
46964,188,20.9857979,7728,2024-02-19 10:33:04,52.204853,013,4031,9.062999753101128,yes
46965,719,20.6835017,7729,2024-02-19 10:33:04,52.2608297,1,6159,165.98337128232242,no
46966,750,20.864185833,773,2024-02-19 10:33:05,52.3598835,07,6633,278.9565762192547,no
46967,509,20.9405764,7730,2024-02-19 10:33:04,52.3268834,9,1298,0.5004543499059948,yes
46972,158,20.9788261,7735,2024-02-19 10:33:04,52.2221686,9,4042,54.893757014633024,no
46973,514,21.2437569,7736,2024-02-19 10:33:04,52.2486491,1,2285,3.020942266191203,yes
46974,525,21.0828622,7737,2024-02-19 10:33:05,52.2359582,2,2100,83.38945011756141,no
46975,202,21.1091244,7738,2024-02-19 10:33:04,52.2452725,541,2266,57.017324079797326,no
46976,507,21.0043959,7739,2024-02-19 10:33:04,52.2300121,2,7002,3.592148209146467,yes
46979,507,21.0598069,7742,2024-02-19 10:33:01,52.23453,5,2140,196.6332563196609,no
46983,E-2,21.117532,7746,2024-02-19 10:32:55,52.2332565,01,,,no
46984,502,21.0161492,7747,2024-02-19 10:33:04,52.2229404,462,7011,74.1276039264817,no
46985,502,21.2083187,7748,2024-02-19 10:33:04,52.2243249,465,2292,106.94616629296594,no
46986,150,20.910759,775,2024-02-19 10:33:05,52.32407,4,6624,10.358646449362146,yes
46987,520,21.0020874,7750,2024-02-19 10:33:05,52.2431347,7,7016,5.072847029451782,yes
46988,188,21.1164057,7751,2024-02-19 10:33:05,52.2337856,012,R-10,128.25656609108384,no
46992,182,21.0728532,7755,2024-02-19 10:33:05,52.2317164,3,2099,203.47469291586208,no
46993,182,21.11298,7757,2024-02-19 10:33:04,52.2360806,5,2105,21.762994445883024,no
46994,125,21.083081,7758,2024-02-19 10:33:03,52.2453001,4,2008,128.87346336409792,no
46995,182,21.064549,7759,2024-02-19 10:33:04,52.2289856,7,2097,65.95212799776553,no
46996,750,20.715023,776,2024-02-19 10:33:05,52.39217,4,6657,7.2139421989842365,yes
46997,250,20.9037285,777,2024-02-19 10:33:04,52.2897409,1,6066,304.579441563565,no
46998,250,20.9278429,778,2024-02-19 10:32:55,52.2910472,3,6059,10.062699084260064,yes
46999,850,20.9632324,779,2024-02-19 10:33:04,52.2756202,03,,,no
47000,509,21.1156226,7800,2024-02-19 10:33:05,52.2347239,024,R-10,148.73830122211848,no
